year,stock_code,company_name,industry,industry_code,revenue,receivables,gross_profit,operating_income,total_assets,current_assets,ppe,total_liabilities,net_income,operating_cash_flow,matched_accounts,missing_optional_accounts
2021,000650,천일고속,Transportation,49220.0,29342954504.0,1171700883.0,-4210755201.0,-9844065237.0,62706049934.0,14796468264.0,12882687662.0,26777803079.0,-567981626.0,-5213401548.0,,
2022,000650,천일고속,Transportation,49220.0,37703179407.0,1452241807.0,-1536713693.0,-7411183633.0,54845658330.0,9480877874.0,10792477131.0,28229905515.0,-6007020421.0,-1529633671.0,,
2023,000650,천일고속,Transportation,49220.0,43998455771.0,1727773162.0,1579620100.0,-5148165928.0,54742622180.0,5021819384.0,12229249442.0,35683673324.0,-4813001445.0,-1393472826.0,,
2024,000650,천일고속,Transportation,49220.0,44716883420.0,1801590564.0,2205951149.0,-5269198646.0,53502532108.0,3614554270.0,11096322394.0,39416038248.0,-4197020928.0,-106686481.0,,
2019,000660,SK하이닉스,Manufacturing,2612.0,26990733000000.0,4261674000000.0,8165458000000.0,2712718000000.0,64789494000000.0,14457602000000.0,39949940000000.0,16846299000000.0,2016391000000.0,6483188000000.0,,
2020,000660,SK하이닉스,Manufacturing,2612.0,31900418000000.0,4931322000000.0,10810629000000.0,5012624000000.0,71173853000000.0,16570953000000.0,41230562000000.0,19264756000000.0,4758914000000.0,12314571000000.0,,
2021,000660,SK하이닉스,Manufacturing,2612.0,42997792000000.0,8267111000000.0,18952192000000.0,12410340000000.0,96386474000000.0,26870451000000.0,53034270000000.0,34195416000000.0,9616188000000.0,19797648000000.0,,
2022,000660,SK하이닉스,Manufacturing,2612.0,44621568000000.0,5186054000000.0,15627855000000.0,6809417000000.0,103871512000000.0,28733332000000.0,60228528000000.0,40580970000000.0,2241669000000.0,14780517000000.0,,
2023,000660,SK하이닉스,Manufacturing,2612.0,32765719000000.0,6600273000000.0,-533448000000.0,-7730313000000.0,100330165000000.0,30468100000000.0,52704853000000.0,46826413000000.0,-9137547000000.0,4278191000000.0,,
2024,000660,SK하이닉스,Manufacturing,2612.0,66192960000000.0,13019006000000.0,31828146000000.0,23467319000000.0,119855209000000.0,42278887000000.0,60157474000000.0,45939505000000.0,19796902000000.0,29795885000000.0,,
2019,000670,영풍,Manufacturing,24213.0,3084133443662.0,456222897436.0,217650032503.0,84396705015.0,4832690295550.0,1464762875871.0,916383282832.0,1134239777503.0,207399648612.0,206908090349.0,,
2020,000670,영풍,Manufacturing,24213.0,3183432777257.0,425184471609.0,167708337361.0,46683478556.0,5000855951482.0,1578390384807.0,858250880212.0,1288719462715.0,85349630880.0,253009737584.0,,
2021,000670,영풍,Manufacturing,24213.0,3582074826364.0,520609950565.0,126439718391.0,-26784314362.0,5521001405617.0,1846657402617.0,889637043563.0,1618710697773.0,170063546594.0,38078793120.0,,
2022,000670,영풍,Manufacturing,24213.0,4429488166601.0,581155589409.0,219785233706.0,68871997441.0,5871933652466.0,1747077425369.0,1014766644848.0,1468547025489.0,415564249162.0,326318565208.0,,
2023,000670,영풍,Manufacturing,24213.0,3761732632263.0,426997862727.0,-25948533676.0,-169812608768.0,5568116970055.0,1369894823006.0,903271770926.0,1285348175271.0,-83369162564.0,313102618672.0,,
